,sound_index,subject_index,naturalness,sound_filename,snr,sound_background,sound_foreground,model
201,222,3,1,snrN5_noiseBabble8Spkr_fg327.wav,-5,noiseBabble8Spkr,fg327,wavenet_waveform
202,222,20,5,snrN5_noiseBabble8Spkr_fg327.wav,-5,noiseBabble8Spkr,fg327,wavenet_waveform
203,225,26,1,snrN5_noiseBabble8Spkr_fg364.wav,-5,noiseBabble8Spkr,fg364,wavenet_waveform
204,225,35,1,snrN5_noiseBabble8Spkr_fg364.wav,-5,noiseBabble8Spkr,fg364,wavenet_waveform
205,226,13,2,snrN5_noiseBabble8Spkr_fg365.wav,-5,noiseBabble8Spkr,fg365,wavenet_waveform
206,227,32,1,snrN5_noiseBabble8Spkr_fg392.wav,-5,noiseBabble8Spkr,fg392,wavenet_waveform
207,227,34,1,snrN5_noiseBabble8Spkr_fg392.wav,-5,noiseBabble8Spkr,fg392,wavenet_waveform
208,231,4,1,snrN5_noiseBabble8Spkr_fg475.wav,-5,noiseBabble8Spkr,fg475,wavenet_waveform
209,231,22,2,snrN5_noiseBabble8Spkr_fg475.wav,-5,noiseBabble8Spkr,fg475,wavenet_waveform
210,232,15,2,snrN5_noiseBabble8Spkr_fg485.wav,-5,noiseBabble8Spkr,fg485,wavenet_waveform
211,233,31,4,snrN5_noiseBabble8Spkr_fg495.wav,-5,noiseBabble8Spkr,fg495,wavenet_waveform
212,235,6,1,snrN5_noiseBabble8Spkr_fg537.wav,-5,noiseBabble8Spkr,fg537,wavenet_waveform
213,238,0,1,snrN5_noiseBabble8Spkr_fg671.wav,-5,noiseBabble8Spkr,fg671,wavenet_waveform
214,238,11,5,snrN5_noiseBabble8Spkr_fg671.wav,-5,noiseBabble8Spkr,fg671,wavenet_waveform
215,239,24,1,snrN5_noiseBabble8Spkr_fg763.wav,-5,noiseBabble8Spkr,fg763,wavenet_waveform
216,243,14,4,snrN5_noiseMusic_fg025.wav,-5,noiseMusic,fg025,wavenet_waveform
217,245,17,3,snrN5_noiseMusic_fg037.wav,-5,noiseMusic,fg037,wavenet_waveform
218,245,34,1,snrN5_noiseMusic_fg037.wav,-5,noiseMusic,fg037,wavenet_waveform
219,247,3,2,snrN5_noiseMusic_fg046.wav,-5,noiseMusic,fg046,wavenet_waveform
220,249,25,2,snrN5_noiseMusic_fg072.wav,-5,noiseMusic,fg072,wavenet_waveform
221,250,0,5,snrN5_noiseMusic_fg078.wav,-5,noiseMusic,fg078,wavenet_waveform
222,253,8,2,snrN5_noiseMusic_fg135.wav,-5,noiseMusic,fg135,wavenet_waveform
223,253,19,4,snrN5_noiseMusic_fg135.wav,-5,noiseMusic,fg135,wavenet_waveform
224,255,16,4,snrN5_noiseMusic_fg166.wav,-5,noiseMusic,fg166,wavenet_waveform
225,255,22,1,snrN5_noiseMusic_fg166.wav,-5,noiseMusic,fg166,wavenet_waveform
226,257,9,6,snrN5_noiseMusic_fg220.wav,-5,noiseMusic,fg220,wavenet_waveform
227,258,6,2,snrN5_noiseMusic_fg267.wav,-5,noiseMusic,fg267,wavenet_waveform
228,258,12,2,snrN5_noiseMusic_fg267.wav,-5,noiseMusic,fg267,wavenet_waveform
229,260,31,2,snrN5_noiseMusic_fg316.wav,-5,noiseMusic,fg316,wavenet_waveform
230,262,10,4,snrN5_noiseMusic_fg327.wav,-5,noiseMusic,fg327,wavenet_waveform
231,262,29,3,snrN5_noiseMusic_fg327.wav,-5,noiseMusic,fg327,wavenet_waveform
232,263,18,4,snrN5_noiseMusic_fg329.wav,-5,noiseMusic,fg329,wavenet_waveform
233,263,23,3,snrN5_noiseMusic_fg329.wav,-5,noiseMusic,fg329,wavenet_waveform
234,266,24,5,snrN5_noiseMusic_fg365.wav,-5,noiseMusic,fg365,wavenet_waveform
235,266,26,4,snrN5_noiseMusic_fg365.wav,-5,noiseMusic,fg365,wavenet_waveform
236,266,32,2,snrN5_noiseMusic_fg365.wav,-5,noiseMusic,fg365,wavenet_waveform
237,267,35,2,snrN5_noiseMusic_fg392.wav,-5,noiseMusic,fg392,wavenet_waveform
238,268,13,4,snrN5_noiseMusic_fg405.wav,-5,noiseMusic,fg405,wavenet_waveform
239,268,20,5,snrN5_noiseMusic_fg405.wav,-5,noiseMusic,fg405,wavenet_waveform
240,268,27,5,snrN5_noiseMusic_fg405.wav,-5,noiseMusic,fg405,wavenet_waveform
241,268,30,3,snrN5_noiseMusic_fg405.wav,-5,noiseMusic,fg405,wavenet_waveform
242,270,1,7,snrN5_noiseMusic_fg451.wav,-5,noiseMusic,fg451,wavenet_waveform
243,270,28,2,snrN5_noiseMusic_fg451.wav,-5,noiseMusic,fg451,wavenet_waveform
244,271,7,7,snrN5_noiseMusic_fg475.wav,-5,noiseMusic,fg475,wavenet_waveform
245,271,15,5,snrN5_noiseMusic_fg475.wav,-5,noiseMusic,fg475,wavenet_waveform
246,271,33,2,snrN5_noiseMusic_fg475.wav,-5,noiseMusic,fg475,wavenet_waveform
